順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
53,新潟・芝1400, 13-  5-  9- 43/ 70,18.6%,25.7%,38.6%,134,84,108.2,5.5着,3.8人気,10.0,726,228,0,0.0%,7.1%,12.9%,82.52,11.79,61.07
54,中山・芝2500, 13-  2-  6- 15/ 36,36.1%,41.7%,58.3%,111,91,137.0,4.0着,2.6人気,5.3,309,158,0,0.0%,5.6%,16.7%,152.97,12.24,58.83
55,札幌・芝1200, 12- 11-  6- 50/ 79,15.2%,29.1%,36.7%,64,73,78.3,5.0着,3.6人気,8.9,422,207,0,0.0%,13.9%,7.6%,69.80,11.63,61.89
56,小倉・障2860芝, 12-  8-  6- 37/ 63,19.0%,31.7%,41.3%,50,55,70.2,4.9着,3.4人気,11.7,262,134,0,0.0%,12.7%,9.5%,194.83,13.62,52.85
57,中京・芝2200, 12-  6-  6- 26/ 50,24.0%,36.0%,48.0%,122,85,107.1,4.3着,3.3人気,8.3,511,178,0,0.0%,12.0%,12.0%,134.29,12.21,58.98
58,札幌・芝1800, 11- 14- 11- 33/ 69,15.9%,36.2%,52.2%,42,80,62.6,4.2着,2.8人気,6.0,264,158,0,0.0%,20.3%,15.9%,110.03,12.23,58.89
59,福島・芝1800, 11-  7- 12- 67/ 97,11.3%,18.6%,30.9%,70,57,55.3,5.9着,3.3人気,8.2,624,186,0,0.0%,7.2%,12.4%,109.42,12.16,59.22
60,京都・芝2200外, 10- 13-  8- 22/ 53,18.9%,43.4%,58.5%,79,129,97.7,4.2着,3.4人気,7.8,423,221,0,0.0%,24.5%,15.1%,134.04,12.19,59.09
61,京都・芝1600外, 10-  9-  9- 48/ 76,13.2%,25.0%,36.8%,48,62,63.0,5.2着,3.2人気,7.5,371,169,0,0.0%,11.8%,11.8%,93.91,11.74,61.34
62,京都・芝2400外, 10-  7-  8- 30/ 55,18.2%,30.9%,45.5%,75,72,89.9,4.3着,3.2人気,6.8,415,159,0,0.0%,12.7%,14.5%,146.33,12.19,59.04
63,福島・芝2600, 10-  5-  5- 17/ 37,27.0%,40.5%,54.1%,144,110,130.4,4.1着,3.3人気,7.6,535,204,0,0.0%,13.5%,13.5%,161.83,12.45,57.84
64,新潟・芝1600外,  9- 17-  5- 53/ 84,10.7%,31.0%,36.9%,43,83,55.0,5.1着,3.2人気,10.6,408,226,0,0.0%,20.2%,6.0%,95.37,11.92,60.40
65,中京・ダ1900,  9-  8-  4- 29/ 50,18.0%,34.0%,42.0%,83,68,84.5,4.8着,3.2人気,7.7,463,162,0,0.0%,16.0%,8.0%,121.09,12.75,56.49
